Supplier ID,Supplier Name,Website
5,Fruition Seeds,http://www.fruitionseeds.com/
4,Harris Seeds,http://harrisseeds.com/
3,High Mowing Seeds,http://www.highmowingseeds.com/
8,Holmes Seeds,http://www.holmesseed.com/
1,Johnny's Selected Seeds,http://www.johnnyseeds.com/
6,Maine Potato Lady,https://www.mainepotatolady.com/
11,New Sprout Farms,http://www.newsproutfarms.com/
12,SeedWay,www.seedway.com/
9,Southern Exposure Seed Exchange,http://www.southernexposure.com/
7,Stokes Seeds,https://www.stokeseeds.com/
10,Territorial Seed Company,http://www.territorialseed.com
